name,city,country,iata,icao
Aero B Ranch Airport,Leoti,US,,00AA
Lowell Field,Anchor Point,US,,00AK
Epps Airpark,Harvest,US,,00AL
Katmai Lodge Airport,King Salmon,US,,00AN
Arland Airport,Bennington,US,,00AR
Fulton Airport,Alex,US,,00AS
Goldstone /Gts/ Airport,Barstow,US,,00CA
Williams Ag Airport,Biggs,US,,00CL
Grass Patch Airport,Bushnell,US,,00FA
River Oak Airport,Okeechobee,US,,00FL
Lt World Airport,Lithonia,US,,00GA
Delta Shores Airport,Clark Fork,US,,00ID
Goltl Airport,Mcdonald,US,,00IG
Hammer Airport,Polo,US,,00IL
Hayenga's Cant Find Farms Airport,Kings,US,,00IS
Hayden Farm Airport,Gardner,US,,00KS
Robbins Roost Airport,Stanford,US,,00KY
Lejeune Airport,Esterwood,US,,00LS
Slater Field,Federalsburg,US,,00MD
Battle Lake Municipal Airport,Battle Lake,US,,00MN
North Raleigh Airport,Louisburg,US,,00NC
Weiss Airfield,West Bloomfield,US,,00NY
Gull Bay Landing Airport,Sandsprings,US,,00OK
Ferrell Field,Mercer,US,,00PN
Flying O Airport,Sumter,US,,00SC
Homan Field,Gary,US,,00SD
Alpine Range Airport,Everman,US,,00TS
Nowhere Airport,Goodlett,US,,00TT
Delva Field,Van,US,,00TX
Vaughan Airport,Alton,US,,00VA
Groundhog Mountain Airport,Hillsville,US,,00VI
Howell Airport,Longbranch,US,,00WA
Northern Lite Airport,Waupaca,US,,00WI
Hawks Run Airport,Asotin,US,,00WN
Lazy J Aerodrome,Beverly,US,,00WV
Weeski Ranch Airport,Hempstead,US,,00XA
Ware Island Airport,Clanton,US,,01AL
Mc Hone Heights Airport,Wasilla,US,,01AN
Swansboro Country Airport,Placerville,US,,01CL
Coleman Homestead Airport,Talkeetna,US,,01CN
Rybolt Ranch Airport,Orlando,US,,01FA
Cedar Knoll Flying Ranch Airport,Geneva,US,,01FL
The Farm Airport,Wrightsville,US,,01GE
Lava Hot Springs Airport,Lava Hot Springs,US,,01ID
William E Koenig Airport,Dow,US,,01IS
Barham Airport,Oak Ridge,US,,01LA
Crystal Lakes Resort Airport,Fortine,US,,01MT
Topsail Airpark,Holly Ridge,US,,01NC
Moore Airfield,Canaan,US,,01NH
Granville Airport,Granville,US,,01NK
Champion Ranch Airport,Artesia,US,,01NM
Lantana Ranch Airport,Yerington,US,,01NV
Spring Creek Ranch East Airport,Tishomingo,US,,01OL
Powell Kaiser Airport,Bolivar,US,,01PA
Nort's Resort Airport,Meshoppen,US,,01PS
York Airport,York,US,,01SC
Smith Field,Forney,US,,01TE
Colonial Air Park,Collierville,US,,01TN
Fort Parker Flying Field,Groesbeck,US,,01TS
Pickles Airport,Berryville,US,,01VA
Keyhole Airport,Moorcroft,US,,01WY
Barefoot Airport,Big Lake,US,,02AA
Rustic Wilderness Airport,Willow,US,,02AK
Bass Field,Foley,US,,02AL
